Breakdown,ttm,3/31/2019,3/31/2018
Total Revenue,16134543,16134543,16406634
Cost of Revenue,14664617,14664617,14876255
Gross Profit,1469925,1469925,1530379
Total Operating Expenses,1252134,1252134,1151255
Operating Income or Loss,217791,217791,379124
Interest Expense,27897,27897,33926
Income Before Tax,452432,452432,438698
Income Tax Expense,112666,112666,130392
Income from Continuing Operations,339766,339766,308306
Net Income,339765,339765,308305
Net Income available to common shareholders,339765,339765,308305
Basic EPS,-,-,137.64
Diluted EPS,-,-,137.64
Basic Average Shares,-,-,2240
Diluted Average Shares,-,-,2240
